,dates,headline,section_name,abstract,Format_date,Tag
4,2003-04-26T05:00:00+0000,"Can SARS Be Stopped? Experts Differ, but Fear a Third-World Epidemic",World,Lawrence K Altman analysis of question of whether spread of severe acute respiratory syndrome can be stopped and the disease eradicated from the world (L),4/26/2003,
5,2003-05-01T05:00:00+0000,"Now Waning, Illness Takes Political Toll In Canada",World,"Political fallout in Canada from SARS epidemic is just beginning, day after World Health Orgn lifts its travel warning on Toronto; two top Liberal Party contenders to succeed retiring Prime Min Jean Chretien suggest country is politically adrift at time when 23 people have died from disease and nearly 150 more have gotten ill; government's critics say country could have avetrted WHO travel advisory, which cost Canada hundreds of millions of dollars in lost business and tourism, had it simply taken WHO advice weeks ago to tighten airport screening to assure that no one with SARS symptoms left country (M)",5/1/2003,
6,2003-05-01T05:00:00+0000,"As Cases Mount, Chinese Officials Try to Calm a Panicky Public",World,"New Beijing Acting Mayor Wang Qishan calls SARS epidemic severe and uncontrolled as he seeks to convince panicky public that battle against disease has been effectively joined at last; was summoned to Beijing 10 days ago after Mayor Meng Xuenong was fired for his part in covering up city's surging epidemic; Wang is showing new face of candor that China's leaders have adopted after months of denial led to medical and diplomatic disasters; he admits city has been sadly unprepared for SARS, had misled public about its spread and now faces shortage of qualified hospitals and medical staff; many Beijing residents say they are encouraged by his statements, but strong undercurrents of anger and mistrust remain; reported cases of disease in capital climb by another 101, to 1,440; photo (M)",5/1/2003,
7,2003-04-28T05:00:00+0000,"With Virus at Gate, the Drawbridge Is Up",World,"Many villages surrounding Beijing build makeshift barricades and post sentinels to keep out strangers, in desperate if not always well-informed attempt to fend off contagion of SARS; total number of cases of SARS in Beijing is now 1,114, with 56 deaths; photo (M)",4/28/2003,
8,2003-04-30T05:00:00+0000,The Contagion Reaches Near the Top of the Chinese Communist Hierarchy,World,SARS epidemic that may have emerged from teeming markets of Guangzhou has quickly mutated into threat to China's Communist Party elite in Beijing; several business executives and senior officials have come down with respiratory ailment and authorities have quarantined unknown number of people inside leadership compound; outbreak may have influenced government's abrupt shift to more aggressive battle against SARS; photos (M),4/30/2003,
9,2003-04-30T05:00:00+0000,ADVICE TO PUT OFF TRIPS TO TORONTO IS LIFTED BY W.H.O.,World,"World Health Organization lifts week-old advisory against nonessential visits to Toronto, citing ebb in SARS outbreak there; decision is welcomed by Canadian officials, who disputed contention that city became source of outbreaks outside Canada, but reversal raises question of whether WHO yielded to intense pressure from influential country; 21 people have died in Toronto but no new cases have been reported since April 9 in general community or since April 20 in hospital system; city still has 39 active cases and 398 people in quarantine; WHO chief Dr Gro Harlem Brundtland defends original advisory and shift, warning decision could be changed again; photo; China reports 389 new cases; Dr Julie L Gerberding of Centers for Disease Control tells Senate panel US has 52 probable cases, nearly all involving travel to affected countries; Canada agrees to use infrared temperature machines to screen departing international passengers at Toronto and Vancouver airports; setback to Canadian economy and Prime Min Jean Chretien's personal lobbying of Brundtland noted (M)",4/30/2003,1
0,2003-04-25T05:00:00+0000,"To Broad Support, Hong Kong Police Take On an Expanded Role in Fighting SARS",World,Government of Hong Kong is assigning broad and expanding role to police in effort to fight spread of infectious disease SARS; officers are taking computer software designed for major criminal investigations and instead entering information on family members and other close contacts of people with SARS; other officers pay three visits daily to homes of people ordered not to go out because someone in their household has confirmed case of disease; new confinement orders are issued for household members of suspected SARS patients as well; tougher measures appear to have broad support in populace terrified of disease that is still infecting 200 more people and killing two dozen each week; photo (M),4/25/2003,
1,2003-04-25T05:00:00+0000,"4,000 Quarantined in Beijing as Suspected SARS Cases Climb",World,"A second major hospital was put under total quarantine, with virtually no one allowed to enter or leave.",4/25/2003,
2,2003-04-29T05:00:00+0000,Toronto Officials Seek End to Travel Advisory,World,Senior Canaidan health officials travel to Geneva to try to persuade World Health Orgn to retract advisory asking visitors to put off unnecessary travel to Toronto; are bringing fresh evidence that SARS epidemic in city is subsiding; 267 people have been stricken with SARS and 21 of them have died since single Chinese immigrant brought mysterious disease to Toronto two months ago; graph (M),4/29/2003,
3,2003-04-23T05:00:00+0000,SARS Cases In Hong Kong Have Begun To Level Off,World,"Health officials report number of people infected with severe acute respiratory syndrom has leveled off in Hong Kong in last week, although disease is unlikely to be eradicated soon, if ever; Hong Kong still has two to three dozen new cases a day and almost as many people hospitalized with SARS as rest of world; area's number of hospitalized probable SARS cases peaked at 960 and has since fallen 9 percent; 34 SARS patients have died, most of them elderly; tentative signs are emerging that residents are accepting SARS as manageable risk and moving on with daily lives; graph of hospitalized patients; photo (M)",4/23/2003,
4,2003-04-29T05:00:00+0000,W.H.O. Says Outbreak Is Fading in Vietnam and 3 Other Places,World,"World Health Orgn lifts its advisory against travel to Vietnam and says SARS infections appear to be dwindling in Singapore, Canada and Hong Kong; warns that disease is still spreading in China; Taiwan, prevented from joining WHO because of Beijing's objections, has also reported growing number of cases; Vietnam, one of first countries outside China to suffer outbreak, has not had any new cases in 20 days, thought to be twice disease's incubation period; Canada has reported no new cases outside hospitals for last 10 days, and is lobbying for WHO to lift its advisory against travel to Toronto; China posts 203 more cases, bringing its total to 3,106; photo (M)",4/29/2003,1
5,2003-04-27T05:00:00+0000,Focusing One Hospital's Resources on One Disease,World,"Singapore has designated 1,000-bed hospital for SARS, disease that spreads so readily in closed spaces that patients are evaluated outside, in tent; hospital got its first case Mar 1, before disease was known, and many doctors fell ill; hospital now uses four specially ventilated rooms for each patient to insure isolation; medical staff wears special protective garb; photos (M)",4/27/2003,
6,2003-04-29T05:00:00+0000,Health Group Relies on a Time-Tested Rule to Determine Last New Case,World,World Health Orgn is relying on time-tested rule of thumb used by epidemiologists in declaring Vietnam first country to stop its outbreak of SARS; rule says epidemic is over if no new cases occur in time span that is double longest known incubation period of the disease; SARS has 10-day incubation period and no new cases have been detected in Vietnam in 20 days; Vietnam had total of 63 cases and 5 deaths; WHO spokesman gives credit for Vietnam's success to old-fashioned infection-control measures; says there was high level of political commitment there from beginning (M),4/29/2003,
7,2003-04-21T05:00:00+0000,China Admits Underreporting Its SARS Cases,World,"Chinese government admits that cases of dangerous new respiratory disease SARS are many times higher than previously disclosed; announcement comes in unusual nationally televised live news conference by Deputy Health Min Gao Qiang, who says that as of Apr 18, Beijing had 339 confirmed cases and additional 402 suspected cases of disease; new numbers bring total of confirmed cases on mainland China to 1,807, highest of any country; of these, 79 have ended in death; government also announces that weeklong national May Day vacation has been reduced to one day to discourage people from traveling and further spreading disease; photo (M)",4/21/2003,
8,2003-04-27T05:00:00+0000,"From China's Provinces, a Crafty Germ Breaks Out",World,"Article traces rise of corona virus that causes severe acute respiratory syndrome in Guangdong, China, province known for exotic cuisine prepared from freshly killed beasts; unusually high percentage of early SARS victims were in catering profession, offering possible clue to how germ that most resembles chicken and rodent viruses gained ability to infect humans; first victims became ill in Dec; alarmed health departments in three Guangdong cities reported strange pneumonia clusters in early Jan to provincial authorities, who concluded that they were facing highly infectious pneumonia caused by previously unknown agent; disease spread until mid-Mar before Italian doctor working in Hanoi, Vietnam, alerted World Health Organization; doctors were placing SARS patients during period in ordinary wards, exposing health workers and others; map; chronology of events; photos (M)",4/27/2003,
9,2003-04-28T05:00:00+0000,Outbreak of Disease Brings Big Drop-Off In China's Economy,World,"Outbreak of new respiratory disease SARS inflicts greatest blow to Chinese economy since Tiananmen Square killings in 1989, causing plunge in retail sales, slump in demand for some Chinese exports and near-collapse in domestic and foreign tourism; Chinese economy has gone from expanding at annual rate of 9.9 percent in first quarter to shrinking at annual rate of 2 percent in second quarter, according to estimates from J P Morgan Chase; economic damage is being increased by some government policies adopted to slow spread of SARS, such as ordering closing of all movie theaters, Internet cafes and other places of entertainment in Beijing, or refusing entry to tour groups in Guangdong Province; if current economic downturn proves prolonged, it could damage Communist Party's claim to be best way to offer greater prosperity to 1.3 billion Chinese; photos; graph (L)",4/28/2003,
0,2003-04-27T05:00:00+0000,"In Toronto, Ballplayers Who Worried Now Wash",World,Severe acuteï,4/27/2003,
1,2003-04-23T05:00:00+0000,W.H.O. Adds Toronto to List of Cities to Avoid Because of SARS,World,"With the disease spreading every day and a 15th person in Toronto dying of the ailment today, what once looked like a model plan appears to have been shattered.",4/23/2003,1
2,2003-04-23T05:00:00+0000,Hong Kong Earmarks $1.5 Billion to Deal With Effects of SARS,World,The plan calls for government spending and tax cuts concentrated in the next four months that will equal 1 percent of the territory's entire annual economic output.,4/23/2003,
3,2003-04-25T05:00:00+0000,Possible Next Patient: The Chinese Leadership,World,"Analysis: political fortunes of Pres Hu Jintao may by held hostage to course disease SARS takes in China, regardless of how brilliantly or boldly he and Prime Min Wen Jiabao mount their belated counterattack; in crisis of this potential magnitude, grip of Communist Party itself could be shaken; some say SARS may undermine public faith to near-fatal degree and force rulers to share information more freely (M)",4/25/2003,
4,2003-04-26T05:00:00+0000,Hong Kong Doctor's Ordeal As Patient With New Disease,World,"Article on Hong Kong cardiologist Yu Cheuk-man's long life-and-death struggle to survive SARS; Yu, 37-years-old and physically fit, is one of 18 students and dozen other professors who contracted disease in March from patient at Prince of Wales Hospital; he describes ordeal and continuing rehabilitation; photo; chronology (M)",4/26/2003,
5,2003-04-26T05:00:00+0000,Canada Increases Pressure on World Health Organization to Lift Travel Advisory,World,Prime Min Jean Chretien protests World Health Organization's advistory for travelers to avoid Toronto because of outbreak of highly contagious respiratory disease known as SARS; will spend evening at hotel in city to show how safe he feels it is; Canadian officials express optimism about controlling disease; photos (M),4/26/2003,
6,2003-04-25T05:00:00+0000,Toronto Mayor Calls for Understanding From Businesses and Consumers,World,"Toronto Mayor Mel Lastman scrambles to counteract mounting economic damage caused by mysterious respiratory disease SARS; pleads with businesses not to lay off workers and with banks to allow customers to defer payments on mortgages and loans; World Health Organ rejects Canadian government appeals to reverse its Apr 22 advisory that travelers defer visiting Toronto because of outbreak of SARS; it has killed 16 people in Toronto in last seven weeks; there have been 257 probable and suspected cases; no new cases are reported over last two days, leading some public officials to say crisis is easing; WHO advisory will have strongly negative impact on entire Canadian economy; photos (M)",4/25/2003,
7,2003-04-25T05:00:00+0000,"Citing Illness, China Decides To Postpone Soccer Season",World,"China postpones start of season for its men's and women's professional soccer leagues as severe acute respiratory syndrome (SARS) continues to disrupt international sports; delay cast further uncertainty on largest international sporting event for women, soccer World Cup, which is scheduled from Sept 23 to Oct 11 in four cities of east-central China; Major League Baseball's executive vice president Sandy Alderson says he would travel to Toronto to signal confidence in decision to continue playing games there despite death of 16 people from SARS; says his organization is comfortable about teams going to Toronto without great risk, in spite of WHO travel advisory (M)",4/25/2003,
8,2003-04-25T05:00:00+0000,Canadian Strain of Virus Appears to Be Stronger Than the U.S. Variety,World,"Dr Robert Webster, leading American virologist, says death rates from SARS illness may vary among countries, in part because of differences in strains of the virus; has just returned from advising Hong Kong officials on epidemic there; says one reason United States has escaped Canada's difficulties with disease is that there is more virulent strain in Canada than one seen so far in US; says outbreak of SARS in apartment complex in Hong Kong seems to be caused by different strain from one causing illness elsewhere in Hong Kong; says there are likely to be many strains of SARS virus, and how big a global problem disease becomes depends on evolution of virus; photo (M)",4/25/2003,
9,2003-04-24T05:00:00+0000,Epidemic Spurs Plan To Revive Hong Kong,World,"Hong Kong officials address economic fallout of SARS epidemic, announcing $1.5 billion package of tax breaks, loan guarantees for businesses and creation of 21,500 short term jobs, half of which will involve cleaning and disinfection effort to combat disease; plan calls for government spending and tax cuts concentrated in next four months that will equal one percent of territory's annual economic output; measure comes just seven weeks afer government announced higher taxes and deep spending cuts to reduce enormous budget deficit (M)",4/24/2003,
0,2003-04-22T05:00:00+0000,Reported SARS Cases in Beijing Take Sharp 2-Day Jump,World,Reported cases in Beijing of SARS climbed by 249 to 588 as the government continued its belated campaign to give honest figures.,4/22/2003,
1,2003-05-02T05:00:00+0000,World Briefing | Europe: Ireland: Town Bars Hong Kong Visitors,World,"SARS outbreak prompts Clonmel Town Council in Tipperary County, Ireland, to withdraw invitation to host Special Olympics Hong Kong delegation to games slated for June in Dublin; Irish Health Minister Michael Martin criticizes decision as premature and Prime Minister Bertie Ahern is looking into possible quarantines for some visitors to games (S)",5/2/2003,
2,2003-04-20T05:00:00+0000,SARS Precautions Spread Into Toronto Church Services,World,The people of Toronto filled their churches over the Easter weekend in an expression of faith over fear despite the spread of a mysterious respiratory disease.,4/20/2003,
3,2003-04-17T05:00:00+0000,"In U.S., Fear Is Spreading Faster Than SARS",World,"Fear about SARS, mysterious respiratory disease first reported in China, spreads throughout United States even though no one in America has died from disease; American health officials see only limited local transmission in nation, and number of probable or suspected cases in US is expected to be lowered from 199 to about 30 because of tighter definition of the disease; health officials and community leaders say some of highest levels of anxiety are being reported in states like New York, California and Washington, with most SARS cases or sizeable Asian-American communities; say Asian immigrant communiites are more attuned to what is going on in Hong Kong and China, where they have family and business ties; say trans-Pacific travel, calls and e-mails blur distinction between what happens here and what happens there; in New York City, Mayor Michael R Bloomberg has lunch at restaurant in Chinatown and then holds news conference to emphasize that fear of SARS is hurting business in neighborhood; photos (L)",4/17/2003,
4,2003-04-24T05:00:00+0000,Illness's Psychological Impact in China Exceeds Its Actual Numbers,World,"Threat of SARS is virtually only topic of conversation in Beijing, city of 14 million where reported cases of disease surge by another 105, bringing total to 693; throngs of residents, driven by rumors of possibly draconian quarantines, stock up on supplies or head for provinces; World Health Organization adds Beijing, along with Shanxi Province, to list of places where nonessential travel should be avoided; experts warn that hundreds of more cases are likely inevitable as government belatedly struggles to contain outbreak it until recently tried to conceal; schools in Beijing are shut down for at least next two weeks, step that may be prudent but adds to public's anxiety; over all, China has 2,305 confirmed cases and 96 patients have died; international experts question credibility of persistently low totals reported in some regions, and WHO team is investigating Shanghai, where only two cases have been officially reported; 1,458 cases have been reported in Hong Kong and 1,330 in Guangdong Province, where disease was first detected but where number of people currently sick is estimated at less than 200; map illustrates distribution of cases throughout China; photo (M)",4/24/2003,
5,2003-04-23T05:00:00+0000,Chinese Capital Closes Schools for at Least Two Weeks,World,"Beijing, in strongest action yet against SARS outbreak, closes all primary and secondary schools until at least May 7 and tells students to study at home, using newly improvised online educational service; orders teachers to report to schools to assist students who choose to come and study on own and to use Internet to post assignments and review materials; officials say entrance exams may have to be postponed; fearful parents in many parts of city have kept children home since disclosure that respiratory disease outbreak is larger than previously announced; photo (M)",4/23/2003,
6,2003-04-24T05:00:00+0000,Health Officials Tell Visiting Major League Teams to Take Precautions in Toronto,World,Major League Baseball will begin recommending that teams traveling to Toronto to play Blue Jays undertake variety of precautions to protect themselves from outbreak of severe acute respiratory syndrome (M),4/24/2003,
7,2003-04-18T05:00:00+0000,"Fearing SARS, Ontario Urges Wider Quarantines",World,"Ontario health officials take extraordinary step of asking anyone with even one symptom of SARS to stay home for few days to avoid possibly spreading severe respiratory ailment during Easter holiday weekend; Public Safety Commissioner Dr James Young and Health Min Tony Clement explain; Canada, particularly Toronto, is hardest-hit country outside Asia: 12 of 126 cases have been fatal, death rate of 9.5 percent; Toronto area cases traced to Scarborough Grace Hospital; outbreak centers on Philippines-based Bukas-Loob Sa Diyos Covenant Community, Roman Catholic group; Pennsylvania may now have SARS case in patient who attended religious meeting in Toronto on March 28 (M)",4/18/2003,
8,2003-04-24T05:00:00+0000,"Virus Proves Baffling, Turning Up in Only 40% of a Lab's Test Cases",World,"Canada's National Microbiology Laboratory finds virus for severe acute respiratory syndrome in only 40 percent of probable and suspected cases, suprisingly low rate; additionally, portion of recent cases testing positive for virus is declining, and a number of people who are not suspected of having SARS are testing positive; director Dr Frank Plummer says findings have potential to weaken link in Canada between SARS and the previously unknown member of coronavirus family that World Health Organization has said is cause of SARS; stresses he is not challenging WHO's conclusion, but finds results 'weird'; WHO says it continues to believe that new coronavirus is cause of SARS, but is following research developments (M)",4/24/2003,
9,2003-04-18T05:00:00+0000,Criticism Mounts in Ontario Over Handling of SARS Cases,World,The second-guessing is now blooming faster than the disease and it is beginning to jeopardize business confidence and become a rancorous political issue.,4/18/2003,
0,2003-04-18T05:00:00+0000,Criticism Mounts in Ontario Over High Rate of SARS Cases,World,The second-guessing is now blooming faster than the disease and it is beginning to jeopardize business confidence and become a rancorous political issue.,4/18/2003,
1,2003-04-28T05:00:00+0000,W.H.O. Lifts Vietnam Advisory,World,"The World Health Organization said that SARS infections appeared to be dwindling in 3 other nations, but still rising in China.",4/28/2003,1
2,2003-04-21T05:00:00+0000,"Toronto, Hard Hit by Mystery Illness, Warily Celebrates Easter",World,"Churches in Toronto are filled for Easter but handshakes are avoided and communion rituals abridged in effort to help avert full-blown epidemic of severe acute respiratory syndrome in city; Sunnybrook Hospital, one of city's principal trauma centers, is forced to close its SARS and critical care units when four staff members show symptoms of disease; government also has requested that anyone suffering from even single symptom of SARS stay at home; more than 7,000 people have been put in 10-day quarantines over last month (M)",4/21/2003,
3,2003-04-17T05:00:00+0000,Health Group Certain of Agent in Respiratory Ailment,World,"World Health Orgn says animal experiments prove conclusively that agent causing severe acute respiratory syndrome is new member of coronavirus family; says it will be called SARS virus; discovery of SARS virus and proof of its role in causing disease come with astounding speed, after monthlong hunt; Dr David L Heymann, executive director of WHO's communicable diseases program, attributes speed of his agency's success to willingness of members of network to put aside usual competitiveness to develop extraordinary degree of cooperation at time of public health emergency; urgency is underscored by explosive nature of SARS virus; one patient can transmit virus to infect large numbers of other people, particularly health care workers (M)",4/17/2003,
4,2003-04-17T05:00:00+0000,"Virus Badly Underreported in Beijing, W.H.O. Team Finds",World,"Team of international medical investigators says Chinese authorities have significantly understated prevalence of severe acute respiratory syndrome in Beijing, with cases easily surpassing total of 37 officially reported; World Health Orgn official Alan Schnur, who is leading team, guesses that number is closer to 100 to 200 cases; says that would not constitute out-of-control outbreak in city of 13 million people, but systems for surveillance, investigating and reporting SARS cases are not good enough to allow for calculation of epidemic's future course; expresses belief that with more extensive and determined control measures that are now starting, Beijing could avoid infection on scale of Guangdong Province; photos (M)",4/17/2003,1
5,2003-04-24T05:00:00+0000,World Briefing | Europe: Ireland: Special Olympics Are On,World,"Mary Davies, Special Olympics Chief Executive, reports games scheduled for Dublin (Ireland) this June will proceed, in spite of concerns over spread of SARS; fewer than 200 of 7,000 people participating hail from countries hardest hit by SARS (S)",4/24/2003,
6,2003-04-20T05:00:00+0000,Mongolian Capital Is Subdued by Illness Scare,World,"Fear of SARS reaches Ulan Bator, Mongolia, after Health Ministry announces that five suspected cases of illness were admitted to National Center for Communicable Diseases; no confirmed cases have been found in Mongolia yet, but authorities have virtually locked down country to stave off outbreak; photo (M)",4/20/2003,
7,2003-04-20T05:00:00+0000,No Headline,World,"Health officials around the world have broad power to declare quarantines to stop spread of SARS, but they must act cautiously because quarantines can backfire, driving infected people underground; shutting borders can cause economic disruption, and pursuing individual carriers often makes more epidemiological sense; map shows spread of SARS; photo (M)",4/20/2003,
8,2003-04-19T05:00:00+0000,China's Top Leaders Urge Tough Action on Illness,World,"China's top leaders, seeking to quell international uproar over credibility of their medical reports and to halt spread of dangerous new virus, hold urgent meeting on severe acute respiratory syndrome and warn officials not to withhold data on disease; Pres Hu Jintao heads meeting, putting personal stamp on directives; publicity about SARS and infection-control efforts in Beijing have increased in recent days; Chinese media have not reported World Health Organization findings that Beijing might have up to 200 SARS cases, not 37 officially reported (M)",4/19/2003,
9,2003-04-19T05:00:00+0000,Disease Has Canada Doubting Its Leaders,World,Ontario health officials brace for wider outbreak of severe acute respiratory syndrome around Toronto as criticism mounts that political and health care officials made key errors; recent reports suggest officials were slow to isolate new cluster of patients in prayer group and that several stricken patients were inexplicably turned away at several hospitals while they potentially infected many others; second-guessing is beginning to jeopardize business confidence and become rancorous issue in provincial legislature; photo (M),4/19/2003,
0,2003-04-18T05:00:00+0000,A Reticent China Undercuts Its Milder New Image,World,"News analysis on how China's reluctance to reveal data on SARS has undermined five years of diplomacy intended to alter country's image and improve relations with other Asian nations; secrectiveness also reflects China's emphasis on social stability above individuals' well-being; leaders have now pledged to tackle severe new respiratory disease, but still insist China should not be treated as source of SARS; photo (M)",4/18/2003,
1,2003-04-18T05:00:00+0000,One Airline's 5 Weeks With a Medical Threat,World,Northwest Airlines' effort since March 15 to keep on top of rapidly emerging respiratory disease SARS reviewed; airline has crisis team that gets updates on spread of SARS and has ordered preventive measures such as wiping down ticket counters and allowing employees to wear masks and gloves; Northwest is particularly vulnerable as one of two major US airlines serving Asia; United declines to discuss procedures (M),4/18/2003,
2,2003-04-16T05:00:00+0000,Exposure of Church Group to Disease Raises Chance of Its Spread in Toronto,World,"Expectations that severe acute respiratory syndrome could be spreading to Toronto population at large increase significantly with news that 500 members of church group were exposed to disease March 28 and may have passed it to others; most people in city have taken disease in stride, at least so far, using mass transit and attending parties and public events without wearing kinds of masks that are now common in some Asian cities (M)",4/16/2003,
3,2003-04-16T05:00:00+0000,Experiments on Monkeys Zero In on the Cause of a Mysterious Disease,World,Dr David L Heymann of World Health Organization says that monkeys experimentally infected with new coronavirus have developed illness similar to mysterious human respiratory disease SARS and that it is now almost certain that coronavirus causes disease; verifying cause of SARS is essential for development of reliable diagnostic tests to determine who has disease so that affected patients can be treated in isolation and those who are not affected can carry on with their normal activities; photo (M),4/16/2003,
4,2003-04-16T05:00:00+0000,Experts Say China Has Greatly Underestimated Virus Cases,World,"Cases are possibly now in the range of 100 to 200 rather than the 37 that were officially reported on Monday, authorities said.",4/16/2003,
5,2003-04-16T05:00:00+0000,Persuading Big Business To Help Look For a Vaccine,World,"Federal government is trying to enlist drug makers and biotechnology companies in search for drugs and vaccines to fight SARS, respiratory illness that has sickened thousands of people and killed 154, but may run into same problems it has been having trying to recruit companies to develop defenses against bioterrorism agents; drug companies have not become involved in biodefense efforts because it is unclear how big overall market will be for such drugs and vaccines; may be similarly reluctant to take on 5- or 10-year research program for SARS, which may turn out to be self-limiting epidemic (M)",4/16/2003,
6,2003-04-16T05:00:00+0000,Apprehension Deters Buyers From Attending China Fair,World,"China's main trade fair, which usually attracts tens of thousands of buyers from around world, opens in Guangzhou with nearly empty halls, as most of customers stay home out of fear of SARS, new respiratory disease; first known cases of disease occurred in November in Foshan, city on Guangzhou's outskirts; photo (M)",4/16/2003,
7,2003-04-15T05:00:00+0000,Centers for Disease Control Becomes 2nd Agency to Map Genome of Mystery Infection,World,"Centers for Disease Control and Prevention becomes second group to fully map genome of virus most suspected of causing mysterious respiratory disease known as SARS; Dr Julie L Gerberding, centers' director, calls confirmation 'critically important' step in speeding up attempts to develop reliable test to detect new virus, and possibly to eventually develop effective antiviral drugs and vaccine; photo (M)",4/15/2003,
8,2003-04-15T05:00:00+0000,Intense Hunt Is On to Find Existing Drug That Works,World,"Scientists who are almost certain they have found virus that causes SARS launch breakneck effort to develop vaccine and drugs to prevent and treat disease; scientists at United States Army's biodefense laboratory in Fort Detrick Md, in cooperation with other federal agencies, are screening up to 2,000 approved and experimental drugs in hopes of finding medicine that will inhibit growth of virus in laboratory cultures; if one is found it would accelerate development of drug to treat SARS; developing drug from scratch would take years; genetic sequencing of virus, just completed by Canadian scientists and now by Americans, is expected to provide many clues about how armor of virus can be pierced (M)",4/15/2003,
9,2003-04-15T05:00:00+0000,Cases of Lethal New Illness Rise Sharply in Interior Region,World,"Report last week that 32 people in China's Shanxi Province have been diagnosed with severe acute respiratory syndrome (SARS) heralds possible spread of disease through country's vast, medically underserved hinterlands; until now disease has been concentrated in prosperous, urbanized southeastern province of Guangdong and in neighboring Hong Kong, with small numbers of cases appearing in other Chinese cities; worry deepens when Chinese ministry of health reports 47 more cases in Shanxi; Shanxi cases are concentrated in provincial capital of Taiyuan, where SARS was apparently introduced several weeks ago by traveler returning from Guangdong; World Health Orgn team seeking to clarify situation in Beijing is making what team members describe as slow, steady progress; say they have still not gained access to any of city's military hospitals; photo; map (M)",4/15/2003,
0,2003-04-15T05:00:00+0000,World Briefing | Europe: Ireland: Doctors Strike,World,Three-hundred Irish public health doctors strike for better pay and working conditions; strike temporarily halts tracking of infectious disease SARS (S),4/15/2003,
1,2003-04-16T05:00:00+0000,The Microbe Test,World,"Koch's postulates, testing process devised in 1890 by German bacteriologist Robert Koch, allows scientists to determine whether particular microbe causes particular disease (S)",4/16/2003,
2,2003-04-15T05:00:00+0000,One-Day Death Rate From New Virus Hits 9 in Hong Kong,World,The toll in Hong Kong from severe acute respiratory syndrome set a new single-day record.,4/15/2003,
3,2003-04-14T05:00:00+0000,The Internet Is Awash in Ads for Products Promising Cures or Protection,World,"Federal health officials warn consumers to be wary of advertisements on Internet for products claiming to prevent SARS; Food and Drug Administration Comr Mark B McClellen says risk of contracting disease in United States is 'very, very low,' and there is no evidence that any specific drug is effective against it; photos (M)",4/14/2003,
4,2003-04-14T05:00:00+0000,Youth and Fitness Offer Little Defense Against Disease,World,"Health officials in Hong Kong report that new respiratory disease known as SARS is beginning to kill younger and healthier adults as well as older people, as medical treatments are proving somewhat less effective than originally hoped; efforts to harvest serum from patients who have recovered from disease and inject it into those still suffering, in hope that serum will contain antibodies, have run into safety problems; World Health Orgn says SARS has hit Hong Kong harder than anywhere else, for reasons that remain unclear; it has three-fifths of world's current SARS patients, although questions have been raised about veracity of mainland China's figures; photo (M)",4/14/2003,
5,2003-04-14T05:00:00+0000,Unions Recommend That Members Be Cautious,World,"Officials at nation's airlines say cleaning methods they have in place are already sufficient to rid aircraft of mystery repiratory illness SARS, even if infected passenger is found on board; airline unions recommend that their members take even more stringent action to protect themselves against SARS; issue is coming under scrutiny because of fears that SARS is being spread around world by air travelers; photo (M)",4/14/2003,
6,2003-04-14T05:00:00+0000,Reports of Virus Jump Sharply in China,World,The reported jump in cases heralded the possible spread of the dangerous pneumonia through the country's vast hinterlands.,4/14/2003,
7,2003-04-14T05:00:00+0000,Lab Decodes Genes Of Virus Suspected In Lethal Outbreak,World,"Scientists in Canada say they have broken genetic code of virus suspected of causing severe acute respiratory syndrome (SARS); say genome appears to be that of 'completely new' coronavirus unrelated to any known human or animal viruses; sequencing genome is first step toward developing diagnostic test for virus and possibly a vaccine; Canadian team slaved over problem 24 hours a day for six days until computers at British Columbia Cancer Agency completed sequencing genome; competing United States team at Centers for Disease Control and Prevention is reaching same conclusion; scientists from both teams say virus's startling novelty could make it harder to trace what animal or bird it came from, if it did jump from another species (M)",4/14/2003,
8,2003-04-13T05:00:00+0000,W.H.O. Team Visits Hospital in Beijing to Investigate Disease,World,"World Health Organization team visits Beijing hospital in effort to clear up swirl of questions and rumors about prevalence of respiratory illness SARS in city; only 22 cases of disease and 4 deaths from it have been publicly recorded in city, but figures for Beijing and several other Chinese cities have been widely questioned, and WHO officials describe uncertainty about course of SARS in China as major global worry (M)",4/13/2003,1
9,2003-04-13T05:00:00+0000,Mystery Illness Changes Life of Hong Kong Doctor,World,"Dr Justin Wu, Hong Kong doctor in front lines in fight on SARS, changes his life in host of ways, even minimizing contact with his wife, in order to avoid catching disease and unwittingly passing it on to others; caring for very sick people while running constant risk of deadly infection takes emotional toll on health workers like Wu; Wu suspects he himself contracted a very mild case of SARS; photo (M)",4/13/2003,
0,2003-04-12T05:00:00+0000,Virus Called Mostly Under Control,World,"World Health Organization says Severe Acute Respiratory Syndrome epidemic seems under control in most countries, although too little is known about its spread in China; says epidemic has peaked in China's Guangdong Province, where it may have originated in Nov; says its global alert one month ago allowed nations with SARS cases imported from Asia to contain threat of local transmission; cases continue to be reported in Hong Kong among health care workers and hospitals are overwhelmed with patients; photo (M)8",4/12/2003,
1,2003-04-12T05:00:00+0000,Hong Kong Tries to Allay Fears Outsiders Have About Its Citizens,World,"Hong Kong officials struggle to persuade other nations not to ban entry of travelers from Hong Kong because of severe acute respiratory syndrome; chief executive Tung Chee-hwa says family members of SARS victims will not be allowed on departing flights, news conference; says territory will work with airlines to develop system to take temperature of ticketholders and refer feverish passengers to doctors at airport; three elderly people fall sick at home for aged despite extra efforts to protect aged, who are more likely to die from SARS than younger patients; photo (M)",4/12/2003,
